model,acc,c_score,r_score,diff
qwen-E-Reward-Model,0.9945000410079956,16.126985549926758,-3.8745040893554688,20.001489639282227
qwen-I-Reward-Model,0.9985000491142273,15.525794982910156,1.4331598281860352,14.092635154724121
qwen-S-Reward-Model,0.9975000619888306,12.134921073913574,-0.2794460952281952,12.41436716914177
qwen-N-Reward-Model,0.9985000491142273,17.212303161621094,4.677331447601318,12.534971714019775
qwen-T-Reward-Model,0.9930000305175781,10.71329402923584,3.876488208770752,6.836805820465088
qwen-F-Reward-Model,0.999000072479248,7.378968715667725,-9.957342147827148,17.336310863494873
qwen-J-Reward-Model,0.9970000386238098,12.04464340209961,4.07217264175415,7.972470760345459
qwen-P-Reward-Model,1.0,20.001985549926758,-1.8245909214019775,21.826576471328735
qwen-ENTJ-Reward-Model,0.9972500205039978,14.761500358581543,-1.837710976600647,16.59921133518219
qwen-ENFP-Reward-Model,0.9983750581741333,14.846250534057617,-6.526562690734863,21.37281322479248
qwen-ENFJ-Reward-Model,0.9978750348091125,14.902750968933105,-3.246000051498413,18.14875102043152
qwen-ENTP-Reward-Model,0.9981250762939453,14.70625114440918,-5.018687725067139,19.72493886947632
qwen-ESTJ-Reward-Model,0.9963750243186951,15.262750625610352,-0.6027082800865173,15.865458905696869
qwen-ESTP-Reward-Model,0.9976250529289246,13.226250648498535,-3.8102190494537354,17.03646969795227
qwen-ESFP-Reward-Model,0.9977500438690186,16.526750564575195,-3.4727189540863037,19.9994695186615
qwen-ESFJ-Reward-Model,0.9976250529289246,16.613000869750977,-1.0666873455047607,17.679688215255737
qwen-INTJ-Reward-Model,0.9975000619888306,15.8725004196167,0.14710889756679535,15.725391522049904
qwen-INTP-Reward-Model,0.9983750581741333,15.422500610351562,-2.7985000610351562,18.22100067138672
qwen-INFP-Reward-Model,0.9987500309944153,15.8385009765625,-6.035375118255615,21.873876094818115
qwen-INFJ-Reward-Model,0.9981250762939453,15.698500633239746,-2.667062520980835,18.36556315422058
qwen-ISTJ-Reward-Model,0.9965000748634338,16.19875144958496,1.4751036167144775,14.723647832870483
qwen-ISTP-Reward-Model,0.9985000491142273,15.07300090789795,-4.157437801361084,19.230438709259033
qwen-ISFP-Reward-Model,0.999250054359436,16.39025115966797,-7.226875305175781,23.61712646484375
qwen-ISFJ-Reward-Model,0.9973750710487366,19.410001754760742,-0.198970228433609,19.60897198319435
